Rk,Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
20,695,23,13/12/2024,DEN,,LAC,"W, 120-98",*,29:57:00,6,9,0.667,2,2,1,4,7,0.571,0.778,2,4,0.5,0,7,7,2,2,0,5,2,16,11,14
21,696,24,16/12/2024,DEN,@,SAC,"W, 130-129",*,38:18:00,8,19,0.421,1,6,0.167,7,13,0.538,0.447,3,4,0.75,2,12,14,13,2,1,5,0,20,21.3,4
22,697,25,19/12/2024,DEN,@,POR,"L, 124-126",*,36:37:00,13,18,0.722,4,6,0.667,9,12,0.75,0.833,4,4,1,0,6,6,8,1,0,3,4,34,30.4,-5
23,698,26,22/12/2024,DEN,@,NOP,"W, 132-129 (OT)",*,42:34:00,11,20,0.55,2,3,0.667,9,17,0.529,0.6,3,5,0.6,2,11,13,10,1,1,3,5,27,25,6
24,699,27,23/12/2024,DEN,,PHO,"W, 117-90",*,29:45:00,12,17,0.706,4,6,0.667,8,11,0.727,0.824,4,5,0.8,0,2,2,7,0,0,1,1,32,28.6,19
25,700,28,25/12/2024,DEN,@,PHO,"L, 100-110",*,37:48:00,10,19,0.526,2,7,0.286,8,12,0.667,0.579,3,4,0.75,5,10,15,2,2,0,2,1,25,22.8,-3
26,701,29,27/12/2024,DEN,,CLE,"L, 135-149",*,35:45:00,12,19,0.632,0,3,0,12,16,0.75,0.632,3,4,0.75,3,11,14,13,3,0,1,1,27,34.2,-15
27,702,30,28/12/2024,DEN,,DET,"W, 134-121",*,37:14:00,11,17,0.647,4,5,0.8,7,12,0.583,0.765,11,14,0.786,1,8,9,8,0,0,2,4,37,33.4,25
28,703,31,30/12/2024,DEN,@,UTA,"W, 132-121",*,38:18:00,14,33,0.424,3,9,0.333,11,24,0.458,0.47,5,6,0.833,7,15,22,11,4,0,2,0,36,37.2,20
29,704,32,1/01/2025,DEN,,ATL,"W, 139-120",*,29:31:00,8,16,0.5,1,1,1,7,15,0.467,0.531,6,6,1,3,14,17,15,0,1,2,2,23,29.7,31
30,705,33,3/01/2025,DEN,,SAS,"L, 110-113",*,36:39:00,15,36,0.417,3,10,0.3,12,26,0.462,0.458,8,9,0.889,4,14,18,9,2,0,2,3,41,33.5,7
31,706,34,4/01/2025,DEN,@,SAS,"W, 122-111 (OT)",*,43:19:00,19,35,0.543,3,8,0.375,16,27,0.593,0.586,5,6,0.833,4,5,9,10,2,2,2,3,46,40.2,7
31,,35,7/01/2025,DEN,,BOS,"L, 106-118",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,
31,,36,8/01/2025,DEN,,LAC,"W, 126-103",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,
32,707,37,10/01/2025,DEN,,BRK,"W, 124-105",*,38:11:00,14,21,0.667,1,1,1,13,20,0.65,0.69,6,8,0.75,5,7,12,15,4,0,1,1,35,43.8,33
33,708,38,12/01/2025,DEN,@,DAL,"W, 112-101",*,38:38:00,6,13,0.462,0,2,0,6,11,0.545,0.462,7,9,0.778,4,14,18,9,3,0,4,4,19,22.2,-2
34,709,39,14/01/2025,DEN,@,DAL,"W, 118-99",*,28:56:00,4,7,0.571,1,2,0.5,3,5,0.6,0.643,1,2,0.5,2,12,14,10,2,0,1,3,10,18.1,23
34,,40,15/01/2025,DEN,,HOU,"L, 108-128",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,
35,710,41,17/01/2025,DEN,@,MIA,"W, 133-113",*,30:37:00,9,12,0.75,1,2,0.5,8,10,0.8,0.792,5,5,1,2,10,12,10,1,0,2,1,24,29.2,6
36,711,42,19/01/2025,DEN,@,ORL,"W, 113-100",*,30:07:00,7,9,0.778,0,0,,7,9,0.778,0.778,6,7,0.857,1,13,14,10,3,3,2,0,20,30.8,20
37,712,43,21/01/2025,DEN,,PHI,"W, 144-109",*,30:21:00,10,15,0.667,2,3,0.667,8,12,0.667,0.733,5,5,1,5,8,13,10,4,1,2,1,27,35.7,21
38,713,44,23/01/2025,DEN,,SAC,"W, 132-123",*,37:23:00,12,19,0.632,2,3,0.667,10,16,0.625,0.684,9,10,0.9,3,19,22,17,1,2,1,5,35,45.2,11
39,714,45,25/01/2025,DEN,@,MIN,"L, 104-133",*,32:24:00,9,13,0.692,2,4,0.5,7,9,0.778,0.769,0,1,0,1,2,3,11,0,0,7,0,20,16.1,-24
40,715,46,27/01/2025,DEN,@,CHI,"L, 121-129",*,39:43:00,15,21,0.714,1,4,0.25,14,17,0.824,0.738,2,2,1,2,10,12,14,1,1,4,1,33,35.8,1
41,716,47,29/01/2025,DEN,@,NYK,"L, 112-122",*,33:26:00,6,15,0.4,3,7,0.429,3,8,0.375,0.5,2,2,1,0,6,6,6,2,1,2,3,17,14.4,-3
42,717,48,31/01/2025,DEN,@,PHI,"W, 137-134",*,37:28:00,11,16,0.688,2,3,0.667,9,13,0.692,0.75,4,5,0.8,2,7,9,13,2,0,6,3,28,28.2,0
43,718,49,1/02/2025,DEN,@,CHO,"W, 107-104",*,36:33:00,9,17,0.529,2,7,0.286,7,10,0.7,0.588,8,9,0.889,1,12,13,17,4,1,4,2,28,35.4,-2
44,719,50,3/02/2025,DEN,,NOP,"W, 125-113",*,36:04:00,9,13,0.692,1,3,0.333,8,10,0.8,0.731,8,10,0.8,1,13,14,10,1,2,1,2,27,32.9,11
45,720,51,5/02/2025,DEN,,NOP,"W, 144-119",*,35:42:00,15,28,0.536,5,13,0.385,10,15,0.667,0.625,3,3,1,2,6,8,10,1,1,1,3,38,34.1,24
46,721,52,6/02/2025,DEN,,ORL,"W, 112-90",*,31:07:00,11,16,0.688,2,4,0.5,9,12,0.75,0.75,4,6,0.667,0,10,10,12,2,0,3,2,28,30,22
47,722,53,8/02/2025,DEN,@,PHO,"W, 122-105",*,28:38:00,11,13,0.846,1,2,0.5,10,11,0.909,0.885,3,3,1,4,7,11,9,0,0,2,4,26,28.9,19
48,723,54,10/02/2025,DEN,,POR,"W, 146-117",*,30:46:00,15,22,0.682,2,7,0.286,13,15,0.867,0.727,8,8,1,1,6,7,8,3,1,5,2,40,36.6,22
49,724,55,12/02/2025,DEN,,POR,"W, 132-121",*,36:03:00,11,20,0.55,0,3,0,11,17,0.647,0.55,4,4,1,3,12,15,10,2,0,4,4,26,25.5,6
50,725,56,20/02/2025,DEN,,CHO,"W, 129-115",*,36:55:00,11,22,0.5,6,14,0.429,5,8,0.625,0.636,1,2,0.5,4,13,17,9,1,1,2,1,29,29.9,14
51,726,57,22/02/2025,DEN,,LAL,"L, 100-123",*,35:10:00,2,7,0.286,0,1,0,2,6,0.333,0.286,8,10,0.8,4,9,13,10,1,0,6,3,12,13.4,-11
52,727,58,24/02/2025,DEN,@,IND,"W, 125-116",*,38:32:00,9,14,0.643,0,1,0,9,13,0.692,0.643,0,0,,0,9,9,19,3,1,4,1,18,27.1,17
53,728,59,27/02/2025,DEN,@,MIL,"L, 112-121",*,37:32:00,13,16,0.813,1,2,0.5,12,14,0.857,0.844,5,7,0.714,1,13,14,10,1,0,5,4,32,31.2,-5
54,729,60,28/02/2025,DEN,@,DET,"W, 134-119",*,34:10:00,6,12,0.5,0,3,0,6,9,0.667,0.5,11,12,0.917,0,17,17,15,1,2,7,2,23,26.8,33
55,730,61,2/03/2025,DEN,@,BOS,"L, 103-110",*,39:23:00,9,15,0.6,2,3,0.667,7,12,0.583,0.667,0,0,,3,11,14,9,2,0,2,2,20,24,0
56,731,62,5/03/2025,DEN,,SAC,"W, 116-110",*,38:08:00,9,18,0.5,0,2,0,9,16,0.563,0.5,4,6,0.667,5,10,15,6,1,0,7,3,22,15.7,-7
57,732,63,7/03/2025,DEN,,PHO,"W, 149-141 (OT)",*,44:55:00,13,22,0.591,3,7,0.429,10,15,0.667,0.659,2,3,0.667,4,17,21,22,3,0,4,3,31,41.5,8
58,733,64,9/03/2025,DEN,@,OKC,"L, 103-127",*,41:14:00,10,23,0.435,2,10,0.2,8,13,0.615,0.478,2,6,0.333,2,11,13,9,1,3,2,3,24,21.2,-13
59,734,65,10/03/2025,DEN,@,OKC,"W, 140-127",*,39:36:00,15,20,0.75,1,2,0.5,14,18,0.778,0.775,4,5,0.8,2,16,18,8,1,1,1,4,35,37.5,8
60,735,66,12/03/2025,DEN,,MIN,"L, 95-115",*,38:16:00,13,23,0.565,2,6,0.333,11,17,0.647,0.609,6,8,0.75,3,5,8,4,1,0,3,3,34,25.5,-24
61,736,67,14/03/2025,DEN,,LAL,"W, 131-126",*,37:47:00,8,16,0.5,0,4,0,8,12,0.667,0.5,12,17,0.706,1,6,7,5,3,1,4,5,28,21.7,2
62,737,68,15/03/2025,DEN,,WAS,"L, 123-126",*,39:14:00,16,30,0.533,1,8,0.125,15,22,0.682,0.55,7,7,1,3,10,13,9,1,2,3,3,40,35,6
62,,69,17/03/2025,DEN,@,GSW,"W, 114-105",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,
62,,70,19/03/2025,DEN,@,LAL,"L, 108-120",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,
62,,71,21/03/2025,DEN,@,POR,"L, 109-128",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,
62,,72,23/03/2025,DEN,@,HOU,"W, 116-111",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,
62,,73,24/03/2025,DEN,,CHI,"L, 119-129",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,
63,738,74,26/03/2025,DEN,,MIL,"W, 127-117",*,38:06:00,16,25,0.64,3,6,0.5,13,19,0.684,0.7,4,7,0.571,2,8,10,10,0,0,3,2,39,33.7,14
64,739,75,28/03/2025,DEN,,UTA,"W, 129-93",*,31:33:00,8,18,0.444,1,5,0.2,7,13,0.538,0.472,10,12,0.833,5,9,14,6,4,0,3,0,27,28.2,28
65,740,76,1/04/2025,DEN,,MIN,"L, 139-140 (2OT)",*,52:38:00,18,29,0.621,6,11,0.545,12,18,0.667,0.724,19,24,0.792,2,8,10,10,2,0,4,5,61,52.7,2
65,,77,2/04/2025,DEN,,SAS,"L, 106-113",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,
66,741,78,4/04/2025,DEN,@,GSW,"L, 104-118",*,37:13:00,13,17,0.765,4,7,0.571,9,10,0.9,0.882,3,3,1,2,10,12,9,2,0,6,2,33,32.2,-4
67,742,79,6/04/2025,DEN,,IND,"L, 120-125",*,39:00:00,18,33,0.545,3,11,0.273,15,22,0.682,0.591,2,3,0.667,3,12,15,13,2,1,4,0,41,38.2,1
68,743,80,9/04/2025,DEN,@,SAC,"W, 124-116",*,37:42:00,5,12,0.417,0,1,0,5,11,0.455,0.417,10,10,1,3,9,12,11,4,0,1,2,20,28.3,9
69,744,81,11/04/2025,DEN,,MEM,"W, 117-109",*,40:55:00,11,19,0.579,1,2,0.5,10,17,0.588,0.605,3,7,0.429,3,13,16,13,2,0,5,3,26,26.4,11
70,745,82,13/04/2025,DEN,@,HOU,"W, 126-111",*,30:47:00,7,10,0.7,3,5,0.6,4,5,0.8,0.85,1,2,0.5,1,6,7,7,2,1,1,3,18,21.3,34
,,,,,,,46-24,70,2575,786,1364,0.576,138,331,0.417,648,1033,0.627,0.627,361,451,0.8,200,692,892,716,127,45,230,160,2071,30.1,594
